Genes	cor	pvalue	Diff_group	gene_upper	is_bcell	to_label	adjusted_pvalue
ACAP1	0.282851658338954	0.00152470145549731	Benign_Tumor	ACAP1	FALSE	FALSE	0.00233197562035549
ACAP2	0.111543724833056	0.219339727421238	Benign_Tumor	ACAP2	FALSE	FALSE	0.228510675349942
ACAP3	0.389672547286559	8.39106066371529e-06	Benign_Tumor	ACAP3	FALSE	FALSE	2.32598767739477e-05
ACAT1	0.0916162542070924	0.313540766254043	Benign_Tumor	ACAT1	FALSE	FALSE	0.322188739879526
ACAT2	0.543585989406142	8.19715947305385e-11	Benign_Tumor	ACAT2	FALSE	FALSE	1.00785434900828e-09
ACBD3	0.258673198180453	0.00386629206060197	Benign_Tumor	ACBD3	FALSE	FALSE	0.00537155555890396
ACBD3-AS1	0.352222384171979	6.46232828151834e-05	Benign_Tumor	ACBD3-AS1	FALSE	FALSE	0.000140242249621077
ACBD4	0.337830538527434	0.000132670292347463	Benign_Tumor	ACBD4	FALSE	FALSE	0.000264508316825892
ACBD5	0.422439854376879	1.13263858484746e-06	Benign_Tumor	ACBD5	FALSE	FALSE	4.02523520808523e-06
ACBD6	0.294151593699478	0.000958730318360781	Benign_Tumor	ACBD6	FALSE	FALSE	0.00153698859870624
ACCS	0.666219060988535	4.12979910442053e-17	Benign_Tumor	ACCS	FALSE	FALSE	1.98174003299331e-15
ACD	0.255253920877092	0.00438077075089391	Benign_Tumor	ACD	FALSE	FALSE	0.00602346308526142
ACE	0.360367677077687	4.23441027818959e-05	Benign_Tumor	ACE	FALSE	FALSE	9.64212183977869e-05
ACER2	0.333966479776814	0.000159988567286132	Benign_Tumor	ACER2	FALSE	FALSE	0.000310699832690726
ACER3	0.123893790089172	0.17216339120594	Benign_Tumor	ACER3	FALSE	FALSE	0.181290181300298
ACHE	0.281771648774009	0.0015922618611529	Benign_Tumor	ACHE	FALSE	FALSE	0.00242506542432607
ACIN1	0.577578421588371	2.67509201700877e-12	Benign_Tumor	ACIN1	FALSE	FALSE	4.98315884938727e-11
ACKR1	0.46999613790692	4.14370299140959e-08	Benign_Tumor	ACKR1	FALSE	FALSE	2.26420655035865e-07
ACKR2	0.32141647756178	0.000289004609226521	Benign_Tumor	ACKR2	FALSE	FALSE	0.000525901937308321
ACKR3	0.403566751147753	3.68337938926241e-06	Benign_Tumor	ACKR3	FALSE	FALSE	1.12318909788493e-05
ACLY	0.519007327025944	7.7467377170313e-10	Benign_Tumor	ACLY	FALSE	FALSE	7.20111088585118e-09
ACO1	0.343431603349745	0.00010069245461752	Benign_Tumor	ACO1	FALSE	FALSE	0.000207098774519682
ACO2	0.532307462834511	2.34965097008726e-10	Benign_Tumor	ACO2	FALSE	FALSE	2.53050584766037e-09
ACOT1	0.793363185648215	7.50097932566877e-28	Benign_Tumor	ACOT1	FALSE	FALSE	2.08594198283285e-25
ACOT11	0.477054758128422	2.42612784476677e-08	Benign_Tumor	ACOT11	FALSE	FALSE	1.42573920477558e-07
ACOT13	0.300576718642561	0.000730190882441985	Benign_Tumor	ACOT13	FALSE	FALSE	0.00120025993374172
ACOT2	0.569882939722131	6.00853860189993e-12	Benign_Tumor	ACOT2	FALSE	FALSE	1.01377000701395e-10
ACOT4	0.325735144139924	0.000236469827947266	Benign_Tumor	ACOT4	FALSE	FALSE	0.000439916931145953
ACOT7	0.371129932170777	2.37939039896763e-05	Benign_Tumor	ACOT7	FALSE	FALSE	5.79334688604173e-05
ACOT8	0.513785166035728	1.22042948817979e-09	Benign_Tumor	ACOT8	FALSE	FALSE	1.06355615105897e-08
ACOT9	0.347726234193539	8.1210359565923e-05	Benign_Tumor	ACOT9	FALSE	FALSE	0.000171227853983228
ACOX1	0.541736714584392	9.76821667237085e-11	Benign_Tumor	ACOX1	FALSE	FALSE	1.17649217508764e-09
ACOX2	0.233943623188681	0.00920586793364069	Benign_Tumor	ACOX2	FALSE	FALSE	0.0118315574259789
ACOX3	0.532162119776939	2.38115384358752e-10	Benign_Tumor	ACOX3	FALSE	FALSE	2.557359228013e-09
ACOXL	0.481066885392372	1.77998533110157e-08	Benign_Tumor	ACOXL	FALSE	FALSE	1.09347974600571e-07
ACP1	0.310011994142738	0.000483973092347116	Benign_Tumor	ACP1	FALSE	FALSE	0.000833729310522305
ACP2	0.481239683937483	1.75624408420122e-08	Benign_Tumor	ACP2	FALSE	FALSE	1.08145469052059e-07
ACP3	0.478733621599893	2.13227732473814e-08	Benign_Tumor	ACP3	FALSE	FALSE	1.27764350820112e-07
ACP5	0.309094723081103	0.00050401912970134	Benign_Tumor	ACP5	FALSE	FALSE	0.000863961464704344
ACP6	0.431512570564816	6.26043545534004e-07	Benign_Tumor	ACP6	FALSE	FALSE	2.38254548743916e-06
ACSF2	0.460887522129513	8.12331217535931e-08	Benign_Tumor	ACSF2	FALSE	FALSE	4.01983922805435e-07
ACSF3	0.569029311060967	6.56437227631627e-12	Benign_Tumor	ACSF3	FALSE	FALSE	1.10158372261932e-10
ACSL1	0.442609551823954	2.9602018178493e-07	Benign_Tumor	ACSL1	FALSE	FALSE	1.24390779571957e-06
ACSL3	0.41904446333934	1.40780263280154e-06	Benign_Tumor	ACSL3	FALSE	FALSE	4.8654483800751e-06
ACSL4	0.275458361380166	0.00204461152947186	Benign_Tumor	ACSL4	FALSE	FALSE	0.00303043069843583
ACSL5	0.14080153556261	0.120334894924371	Benign_Tumor	ACSL5	FALSE	FALSE	0.128928470495853
ACSM1	0.350325852908974	7.11909447981623e-05	Benign_Tumor	ACSM1	FALSE	FALSE	0.000152476493376672
ACSM3	0.431021474451414	6.46747266043956e-07	Benign_Tumor	ACSM3	FALSE	FALSE	2.45354328236359e-06
ACSS1	0.374814413721522	1.94402055977388e-05	Benign_Tumor	ACSS1	FALSE	FALSE	4.85319528332136e-05
ACSS2	0.434563760277022	5.10874658182979e-07	Benign_Tumor	ACSS2	FALSE	FALSE	1.99795355396372e-06
ACSS3	0.195219545869739	0.0304760470728028	Benign_Tumor	ACSS3	FALSE	FALSE	0.0354790671349898
ACTA1	0.352354143070798	6.4188719291124e-05	Benign_Tumor	ACTA1	FALSE	FALSE	0.000139474107090927
ACTA2	0.286856544212973	0.00129632039466176	Benign_Tumor	ACTA2	FALSE	FALSE	0.00201593743819329
ACTB	0.443064497210365	2.86904653182084e-07	Benign_Tumor	ACTB	FALSE	FALSE	1.21363513776355e-06
ACTC1	0.350426453735071	7.08274634310893e-05	Benign_Tumor	ACTC1	FALSE	FALSE	0.000151802379302553
ACTG1	0.520004175766093	7.09671912949661e-10	Benign_Tumor	ACTG1	FALSE	FALSE	6.67374438427843e-09
ACTG2	0.280412835026775	0.0016811250523718	Benign_Tumor	ACTG2	FALSE	FALSE	0.00254522267553821
ACTL10	0.419836306994718	1.33846469004784e-06	Benign_Tumor	ACTL10	FALSE	FALSE	4.64747170972464e-06
ACTL6A	0.162497478618471	0.0725361685426348	Benign_Tumor	ACTL6A	FALSE	FALSE	0.080081115382555
ACTN1	0.31698186457307	0.000354022242721725	Benign_Tumor	ACTN1	FALSE	FALSE	0.000629575012664774
ACTN4	0.47461372496583	2.92349948286507e-08	Benign_Tumor	ACTN4	FALSE	FALSE	1.67442653352916e-07
ACTR10	0.302851431917285	0.000662090057990305	Benign_Tumor	ACTR10	FALSE	FALSE	0.00109992836282089
